Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,3,0,0
3/14/20,3,0,0
3/15/20,3,0,0
3/16/20,3,0,0
3/17/20,3,0,0
3/18/20,3,0,0
3/19/20,6,0,0
3/20/20,11,0,0
3/21/20,15,0,0
3/22/20,18,0,0
3/23/20,18,0,0
3/24/20,25,0,0
3/25/20,25,0,0
3/26/20,30,0,0
3/27/20,30,0,0
3/28/20,30,0,0
3/29/20,30,0,0
3/30/20,36,0,0
3/31/20,36,0,0
4/1/20,37,0,0
4/2/20,37,0,0
4/3/20,39,0,0
4/4/20,40,0,0
4/5/20,41,0,0
4/6/20,42,0,0
4/7/20,47,0,0
4/8/20,51,0,0
4/9/20,51,0,0
4/10/20,51,0,0
4/11/20,51,0,0
4/12/20,53,0,0
4/13/20,55,0,0
4/14/20,55,0,0
4/15/20,55,0,0
4/16/20,55,0,0
4/17/20,55,0,0
4/18/20,55,0,2
4/19/20,55,0,2
4/20/20,56,0,19
4/21/20,56,0,19
4/22/20,57,0,35
4/23/20,57,0,36
4/24/20,57,0,41
4/25/20,57,0,41
4/26/20,57,0,41
4/27/20,57,0,43
4/28/20,58,0,49
4/29/20,58,0,50
4/30/20,58,0,50
5/1/20,58,0,51
5/2/20,58,0,51
5/3/20,58,0,51
5/4/20,58,0,53
5/5/20,60,0,54
5/6/20,60,0,54
5/7/20,60,0,56
5/8/20,60,0,56
5/9/20,60,0,56
5/10/20,60,0,56
5/11/20,60,0,56
5/12/20,60,0,58
5/13/20,60,0,58
5/14/20,60,0,59
5/15/20,60,0,59
5/16/20,60,0,59
5/17/20,60,0,59
5/18/20,60,0,60
5/19/20,60,0,60
5/20/20,60,0,60
5/21/20,60,0,60
5/22/20,60,0,60
5/23/20,60,0,60
5/24/20,60,0,60
5/25/20,60,0,60
5/26/20,60,0,60
5/27/20,60,0,60
5/28/20,60,0,60
5/29/20,60,0,60
5/30/20,60,0,60
5/31/20,60,0,60
6/1/20,60,0,60
6/2/20,60,0,60
6/3/20,60,0,60
6/4/20,60,0,60
6/5/20,60,0,60
6/6/20,60,0,60
6/7/20,60,0,60
6/8/20,60,0,60
6/9/20,60,0,60
6/10/20,60,0,60
6/11/20,60,0,60
6/12/20,60,0,60
6/13/20,60,0,60
6/14/20,60,0,60
6/15/20,60,0,60
6/16/20,60,0,60
6/17/20,60,0,60
